Geography,Count of 1,Sum of MIN Tract,Sum of LMI Tract,Sum of Total Persons,Sum of Total Families,Sum of Total HHs,Sum of Total Female Pop,Sum of Total Male Pop,Sum of Total Minority Pop,Average of Minority Pop as Percent of Tract Pop,Sum of Total Pop Hispanic only,Sum of Total Pop Non-Hispanic White,Sum of Total Pop Non-Hispanic American Indian/Alaska Native,Sum of Total Pop Non-Hispanic Native Hawaiian/other Pacific Islander,Sum of Total Pop Non-Hispanic Black/African American,Sum of Total Pop Non-Hispanic Asian,Sum of Total Pop Householder in Family HHs,Sum of Total Pop in Family HHs,Sum of Total Male Householders in Family HHs,Sum of Total Female Householders in Family HHs,Sum of Total Spouse Householder in Family HHs,Sum of Total Children in Family HHs,Sum of Total Grandchildren in Family HHs,Sum of Total Parents in Family HHs,Sum of Total Other Relatives in Family HHs,Sum of Total Non-relatives in Family HHs,Sum of Total Pop in Non-Family HHs,Sum of Total Male Households in Non-Family HHs,Sum of Total Male Householders living alone in Non-Family HHs,Sum of Total Male Householders not living alone in Non-Family HHs,Sum of Total Female Householders in Non-Family HHs,Sum of Total Female Householders living alone in Non-Family HHs,Sum of Total Female Householders not living alone in Non-Family HHs,Sum of Total nonrelatives in Non-Family HHs,Sum of Total Pop in Group Quarters,Sum of Total Pop 65 years and over,Sum of Total Population,Sum of Total Male Pop2,Sum of Total Male Pop 18 to 24 years,Sum of Total Male Pop 25 to 39 years,Sum of Total Male Pop 40 to 49 years,Sum of Total Male Pop 50 to 61 years,Sum of Total Male Pop 62 years and over,Sum of Total Female Pop2,Sum of Total Female Pop 18 to 24 years,Sum of Total Female Pop 25 to 39 years,Sum of Total Female Pop 40 to 49 years,Sum of Total Female Pop 50 to 61 years,Sum of Total Female Pop 62 years and over,Sum of Total Male/Female Pop 18 to 24 years,Sum of Total Male/Female Pop 25 to 39 years,Sum of Total Male/Female Pop 40 to 49 years,Sum of Total Male/Female Pop 50-61 years,Sum of Total Male/Female Pop 62 years and over,Average of Female Median Age,Average of Male Median Age,Average of Persons Median Age,Sum of Total Male Pop 16 and over,Sum of Total Male Pop 16 and over in Labor Force,Sum of Total Male Pop 16 and over in Armed Forces,Sum of Total Male Pop 16 and over - Civilians,Sum of Total Male Pop 16  and over - Employed,Sum of Total Male Pop 16 and over - Unemployed,Sum of Total Male Pop 16 and over - Not in Labor Force,Sum of Total Female Pop 16 and over,Sum of Total Female Pop 16 and over in Labor Force,Sum of Total Female Pop 16 and over in Armed Forces,Sum of Total Female Pop 16 and over - Civilians,Sum of Total Female Pop 16  and over - Employed,Sum of Total Female Pop 16 and over - Unemployed,Sum of Total Female Pop 16 and over - Not in Labor Force,Average of MFI - White,Average of MFI - Black,Average of MFI - American Indian/Alaska Native,Average of MFI - Asian,Average of MFI - Native Hawaiian/Pacific Islander,Average of MFI - Some other race,Average of MFI - Two or more races,Average of MFI - Hispanic or Latino,"Average of MFI - White, not Hispanic",Sum of Total Families2,Sum of Total Families with Income Below Poverty,Sum of Total Housing Units,Sum of Total Housing Units - Occupancy Status,Sum of Total Occupied Housing Units,Sum of Total Vacant Housing Units,Sum of Total Occupied Housing Units - Tenure,Sum of Total Owner Occupied Housing Units - Tenure,Sum of Total Renter Occupied Housing Units - Tenure,Average of Median Year Structure Built,Average of Median Gross Rent - Dollars,Average of Median Value (Dollars) for all Owner Occupied Housing Units,Average of MFI as Percent of MSA MFI,Average of MSA MFI,Sum of Low Income,Sum of Moderate Income,Sum of Middle Income,Count of Upper Income,Sum of LMI Pop,Sum of MIN Pop
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
AK,191,56,55,855385,199849,293916,406897,448488,340438,39.36659686,44256,514947,164157,7749,23112,45630,199849,674611,112748,87101,147182,256086,18399,5000,16249,23784,123339,52572,39937,12635,41495,32157,9338,29272,36683,60826,855385,448488,48354,93076,65011,79432,45330,406897,40734,83605,58045,69464,44531,89088,176681,123056,148896,89861,35.46596859,35.7382199,35.71204188,333378,254861,16599,230457,213440,24822,78517,302281,201655,2231,193758,183907,15517,100626,82490.65969,24797.09948,50546.05236,35060.79058,4345.376963,19067.97906,55271.53927,45585.95288,83710.04188,199849,14476,363848,363848,293916,69932,293916,189021,104895,1970.146597,956.2774869,206641.8848,97.91109948,82239.26702,4,51,100,191,18648,229268
AL,1210,359,366,5293523,1375812,2017207,2722926,2570597,1779812,37.40865289,195145,3513711,28974,2082,1430075,54301,1375812,4339940,783911,591901,989764,1531997,156118,43663,106046,77109,760407,287322,241025,46297,354073,320742,33331,119012,129066,716713,5293523,2570597,262866,494432,356393,417497,399647,2722926,261400,510360,371287,447120,520955,524266,1004792,727680,864617,920602,39.28429752,36.47272727,37.95454545,1971745,1305997,13908,1236822,1180127,111962,665748,2151793,1158695,2367,1114931,1049722,106606,993098,56245.50744,33827.46364,6711.871901,11800.05868,206.6123967,4576.398347,12580.2562,14684.73471,56692.93884,1375812,185060,2399793,2399793,2017207,382586,2017207,1442398,574809,1965.17686,643.5115702,117770.9909,97.91935537,56346.28099,91,275,573,1210,256265,1243264
AR,739,126,164,3766990,991124,1448135,1914617,1852373,941417,27.30635995,226525,2825573,25122,5732,585477,39553,991124,3076292,568546,422578,737280,1048350,100386,30691,69548,64845,542072,208516,172232,36284,248495,223177,25318,85061,108276,550900,3766990,1852373,181394,352838,249383,292126,311433,1914617,175618,350192,252125,306047,386363,357012,703030,501508,598173,697796,39.35588633,36.95669824,38.18538566,1419127,919681,6454,871407,836728,76499,499446,1506048,820621,1209,785066,755336,64076,685427,52042.50068,21878.43031,8891.594046,12935.27064,297.932341,6801.197564,15388.17456,21424.16238,52547.20704,991124,138676,1710531,1710531,1448135,262396,1448135,994854,453281,1972.94452,605.1312585,101166.3058,98.91110961,52817.18539,29,135,436,739,95286,531623
AZ,1528,483,495,6420943,1551127,2339953,3230172,3190771,2708388,41.47399869,1903995,3712555,259769,10969,239295,170643,1551127,5123479,918720,632407,1156733,1834690,143306,68593,146698,145369,1017105,384339,292251,92088,404487,334728,69759,228279,135099,840759,6420943,3190771,328723,650086,420003,451866,504963,3230172,306345,626199,416959,487832,592812,635068,1276285,836962,939698,1097775,38.28272251,36.69829843,37.52028796,2387696,1631546,17630,1547807,1485813,128103,756150,2449186,1375694,2886,1323154,1272216,100592,1073492,62575.19699,25085.90118,11923.91099,32409.6466,839.8769634,34521.42539,17478.71924,50201.09555,66158.31806,1551127,169896,2796234,2796234,2339953,456281,2339953,1577729,762224,1879.022906,936.9024869,224755.8946,102.2227683,60317.86649,114,381,572,1528,431282,2059293
CA,8068,4682,2687,37431000,8540363,12462182,18821643,18609357,22354929,58.15071765,14054449,15076071,169113,128793,2165712,4777879,8540363,30705887,4986702,3553661,6195635,11538890,811644,654566,1304705,1020974,5275173,1855383,1357506,497877,2066436,1685048,381388,1353354,832670,4087763,37431000,18609357,2046504,4021133,2667473,2731647,2365698,18821643,1890511,3900750,2654942,2855196,2962519,3937015,7921883,5322415,5586843,5328217,36.83341596,34.92575607,35.91559246,14107143,10107594,125531,9620055,9078334,903729,3999549,14479496,8393219,18150,8105566,7628053,747016,6086277,75950.15741,34612.31792,8955.095935,66885.14911,3281.932077,45532.54053,38309.02305,59704.324,79549.65692,8540363,872926,13648686,13648686,12462182,1186504,12462182,7157771,5304411,1922.64353,1234.006197,467710.3603,104.2849405,71565.22062,626,2061,2767,8068,2680252,22733389
CO,1295,214,393,5514688,1359736,2108989,2740505,2774183,1621661,28.93806178,1131379,3893027,37018,5904,194021,138565,1359736,4271768,805371,554365,1064128,1497979,78195,39299,88820,97480,962714,369660,283280,86380,379593,311942,67651,213461,132279,577921,5514688,2774183,276059,605415,397437,451948,361692,2740505,250427,564184,390228,458601,427535,526486,1169599,787665,910549,789227,37.81312741,36.32509653,37.0980695,2104375,1589820,25677,1504997,1453876,110267,514555,2102390,1334215,4994,1286639,1242477,86744,768175,72886.25251,16322.10656,8104.885714,30770.75676,847.0857143,26677.72741,25120.59846,48765.22162,75946.24633,1359736,117301,2463953,2463953,2108989,354964,2108989,1435513,673476,1904.795367,924.0625483,256033.983,101.2564247,74476.98842,97,296,518,1295,384673,896650
CT,833,195,258,3574097,911653,1359218,1834483,1739614,1027835,30.38256903,479087,2546262,6885,958,335119,134091,911653,2878429,502141,409512,686853,1038567,47825,40913,58980,62753,550111,196001,153836,42165,251564,215716,35848,102546,117297,491703,3574097,1739614,168032,318661,269312,295976,269437,1834483,158627,324117,283997,312862,356061,326659,642778,553309,608838,625498,40.2785114,37.98559424,39.18127251,1353276,999311,8075,940896,913582,77654,353965,1467561,920538,869,878620,851967,67702,547023,88378.80192,38167.94838,1253.702281,62336.65306,449.5726291,21567.07923,19286.84514,55679.91477,90400.62425,911653,58882,1475657,1475657,1359218,116439,1359218,939984,419234,1944.392557,1055.613445,324965.6939,100.1868307,90795.43818,111,147,328,833,378604,757367
DC,179,123,105,601723,109171,257317,317501,284222,392259,68.55240223,54749,209464,1322,216,301053,20818,109171,352070,45779,63392,56884,126243,19629,5111,15007,10349,193151,68492,53483,15009,79654,67136,12518,45005,39179,67108,601723,284222,39235,80231,38670,39927,35270,317501,47780,87439,37603,44382,50371,87015,167670,76273,84309,85641,35.58659218,34.06703911,34.99441341,230103,162140,2407,152248,144120,15613,67963,263298,168958,655,161627,153069,15234,94340,99066.93296,59499.26257,1396.653631,34958.03352,0,16430.49721,11163.6257,41502.35754,103672.3408,109171,15813,293492,293492,257317,36175,257317,111879,145438,1929.703911,1070.810056,444922.3855,84.96458101,109400,58,47,25,179,188163,383193
DE,218,43,58,897934,224796,331639,462995,434939,311182,33.53697248,73221,586752,2824,238,186782,28308,224796,719905,126981,97815,164401,253625,19834,9702,18813,19460,136806,48600,37376,11224,58243,49614,8629,29963,24567,122912,897934,434939,45455,82187,62154,69075,71233,462995,45450,84559,66160,76427,89469,90905,166746,128314,145502,160702,40.27981651,37.7293578,39.04587156,334649,233882,3051,220529,213581,17250,100767,365726,221010,704,211371,205481,14825,144716,73347.40367,46498.70642,3014.678899,39913.3945,0,13169.74312,14479.46789,36614.46789,75010.15596,224796,16647,398866,398866,331639,67227,331639,244005,87634,1937.573394,914.8715596,256332.1147,99.14798165,74431.19266,11,47,103,218,31169,164532
